sigma:0,sigma:1,sigma:2,sigma:3,sigma:4,sigma:5,arc_length,Points:0,Points:1,Points:2
1.52E+07,6.66E+06,6.68E+06,2.97E+06,-1.14E-09,-9.17E-10,0.4215,0,0.9215,0
1.50E+07,6.60E+06,6.60E+06,2.97E+06,-1.16E-09,-8.89E-10,0.422,0,0.922,0
1.48E+07,6.54E+06,6.52E+06,2.97E+06,-1.17E-09,-8.62E-10,0.4225,0,0.9225,0
1.46E+07,6.48E+06,6.43E+06,2.98E+06,-1.18E-09,-8.34E-10,0.423,0,0.923,0
1.44E+07,6.42E+06,6.35E+06,2.98E+06,-1.19E-09,-8.07E-10,0.4235,0,0.9235,0
1.42E+07,6.36E+06,6.27E+06,2.98E+06,-1.21E-09,-7.79E-10,0.424,0,0.924,0
1.40E+07,6.30E+06,6.19E+06,2.99E+06,-1.22E-09,-7.52E-10,0.4245,0,0.9245,0
1.38E+07,6.23E+06,6.10E+06,2.99E+06,-1.23E-09,-7.24E-10,0.425,0,0.925,0
1.36E+07,6.17E+06,6.02E+06,2.99E+06,-1.24E-09,-6.97E-10,0.4255,0,0.9255,0
1.34E+07,6.11E+06,5.94E+06,3.00E+06,-1.26E-09,-6.70E-10,0.426,0,0.926,0
1.31E+07,6.05E+06,5.85E+06,3.00E+06,-1.27E-09,-6.42E-10,0.4265,0,0.9265,0
1.29E+07,5.99E+06,5.77E+06,3.00E+06,-1.28E-09,-6.15E-10,0.427,0,0.927,0
1.27E+07,5.93E+06,5.69E+06,3.01E+06,-1.30E-09,-5.87E-10,0.4275,0,0.9275,0
1.25E+07,5.87E+06,5.61E+06,3.01E+06,-1.31E-09,-5.60E-10,0.428,0,0.928,0
1.23E+07,5.81E+06,5.52E+06,3.01E+06,-1.32E-09,-5.32E-10,0.4285,0,0.9285,0
1.21E+07,5.75E+06,5.44E+06,3.02E+06,-1.33E-09,-5.05E-10,0.429,0,0.929,0
1.19E+07,5.69E+06,5.36E+06,3.02E+06,-1.35E-09,-4.77E-10,0.4295,0,0.9295,0
1.17E+07,5.63E+06,5.27E+06,3.02E+06,-1.36E-09,-4.50E-10,0.43,0,0.93,0
1.15E+07,5.57E+06,5.19E+06,3.03E+06,-1.37E-09,-4.22E-10,0.4305,0,0.9305,0
1.13E+07,5.51E+06,5.11E+06,3.03E+06,-1.38E-09,-3.95E-10,0.431,0,0.931,0
1.11E+07,5.45E+06,5.03E+06,3.03E+06,-1.40E-09,-3.68E-10,0.4315,0,0.9315,0
1.09E+07,5.39E+06,4.94E+06,3.04E+06,-1.41E-09,-3.40E-10,0.432,0,0.932,0
1.06E+07,5.33E+06,4.86E+06,3.04E+06,-1.42E-09,-3.13E-10,0.4325,0,0.9325,0
1.04E+07,5.26E+06,4.78E+06,3.04E+06,-1.44E-09,-2.85E-10,0.433,0,0.933,0
1.02E+07,5.20E+06,4.70E+06,3.05E+06,-1.45E-09,-2.58E-10,0.4335,0,0.9335,0
1.00E+07,5.14E+06,4.61E+06,3.05E+06,-1.46E-09,-2.30E-10,0.434,0,0.934,0
9.81E+06,5.08E+06,4.53E+06,3.05E+06,-1.47E-09,-2.03E-10,0.4345,0,0.9345,0
9.60E+06,5.02E+06,4.45E+06,3.06E+06,-1.49E-09,-1.75E-10,0.435,0,0.935,0
9.40E+06,4.96E+06,4.36E+06,3.06E+06,-1.50E-09,-1.48E-10,0.4355,0,0.9355,0
9.19E+06,4.90E+06,4.28E+06,3.06E+06,-1.51E-09,-1.20E-10,0.436,0,0.936,0
8.98E+06,4.84E+06,4.20E+06,3.07E+06,-1.52E-09,-9.30E-11,0.4365,0,0.9365,0
8.77E+06,4.78E+06,4.12E+06,3.07E+06,-1.54E-09,-6.56E-11,0.437,0,0.937,0
8.56E+06,4.72E+06,4.03E+06,3.07E+06,-1.55E-09,-3.81E-11,0.4375,0,0.9375,0
8.35E+06,4.66E+06,3.95E+06,3.08E+06,-1.56E-09,-1.07E-11,0.438,0,0.938,0
8.14E+06,4.60E+06,3.87E+06,3.08E+06,-1.58E-09,1.68E-11,0.4385,0,0.9385,0
7.94E+06,4.54E+06,3.78E+06,3.08E+06,-1.59E-09,4.42E-11,0.439,0,0.939,0
7.73E+06,4.48E+06,3.70E+06,3.09E+06,-1.60E-09,7.17E-11,0.4395,0,0.9395,0
7.52E+06,4.42E+06,3.62E+06,3.09E+06,-1.61E-09,9.91E-11,0.44,0,0.94,0
7.31E+06,4.36E+06,3.54E+06,3.09E+06,-1.63E-09,1.27E-10,0.4405,0,0.9405,0
7.10E+06,4.29E+06,3.45E+06,3.10E+06,-1.64E-09,1.54E-10,0.441,0,0.941,0
6.89E+06,4.23E+06,3.37E+06,3.10E+06,-1.65E-09,1.82E-10,0.4415,0,0.9415,0
6.68E+06,4.17E+06,3.29E+06,3.11E+06,-1.66E-09,2.09E-10,0.442,0,0.942,0
6.48E+06,4.11E+06,3.20E+06,3.11E+06,-1.68E-09,2.36E-10,0.4425,0,0.9425,0
6.27E+06,4.05E+06,3.12E+06,3.11E+06,-1.69E-09,2.64E-10,0.443,0,0.943,0
6.06E+06,3.99E+06,3.04E+06,3.12E+06,-1.70E-09,2.91E-10,0.4435,0,0.9435,0
5.85E+06,3.93E+06,2.96E+06,3.12E+06,-1.72E-09,3.19E-10,0.444,0,0.944,0
5.64E+06,3.87E+06,2.87E+06,3.12E+06,-1.73E-09,3.46E-10,0.4445,0,0.9445,0
5.43E+06,3.81E+06,2.79E+06,3.13E+06,-1.74E-09,3.74E-10,0.445,0,0.945,0
5.23E+06,3.75E+06,2.71E+06,3.13E+06,-1.75E-09,4.01E-10,0.4455,0,0.9455,0
5.02E+06,3.69E+06,2.63E+06,3.13E+06,-1.77E-09,4.29E-10,0.446,0,0.946,0
4.81E+06,3.63E+06,2.54E+06,3.14E+06,-1.78E-09,4.56E-10,0.4465,0,0.9465,0
4.60E+06,3.57E+06,2.46E+06,3.14E+06,-1.79E-09,4.83E-10,0.447,0,0.947,0
