"sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","arc_length","Points:0","Points:1","Points:2"
-1.8807e+08,-1.0949e+07,6.0463e+05,1.4074e+06,-1.7396e-09,-1.275e-08,0.0345,0,0.5345,0
-1.8679e+08,-1.0973e+07,1.0687e+06,1.3885e+06,-1.7036e-09,-1.2672e-08,0.035,0,0.535,0
-1.855e+08,-1.0997e+07,1.5327e+06,1.3696e+06,-1.6676e-09,-1.2595e-08,0.0355,0,0.5355,0
-1.8421e+08,-1.1021e+07,1.9967e+06,1.3507e+06,-1.6316e-09,-1.2518e-08,0.036,0,0.536,0
-1.8293e+08,-1.1045e+07,2.4607e+06,1.3319e+06,-1.5956e-09,-1.2441e-08,0.0365,0,0.5365,0
-1.8164e+08,-1.1069e+07,2.9247e+06,1.313e+06,-1.5597e-09,-1.2364e-08,0.037,0,0.537,0
-1.8035e+08,-1.1093e+07,3.3888e+06,1.2941e+06,-1.5237e-09,-1.2287e-08,0.0375,0,0.5375,0
-1.7906e+08,-1.1118e+07,3.8527e+06,1.2752e+06,-1.4877e-09,-1.221e-08,0.038,0,0.538,0
-1.7778e+08,-1.1142e+07,4.3168e+06,1.2563e+06,-1.4517e-09,-1.2133e-08,0.0385,0,0.5385,0
-1.7649e+08,-1.1166e+07,4.7808e+06,1.2375e+06,-1.4157e-09,-1.2055e-08,0.039,0,0.539,0
-1.752e+08,-1.119e+07,5.2448e+06,1.2186e+06,-1.3797e-09,-1.1978e-08,0.0395,0,0.5395,0
-1.7391e+08,-1.1214e+07,5.7088e+06,1.1997e+06,-1.3438e-09,-1.1901e-08,0.04,0,0.54,0
-1.7263e+08,-1.1238e+07,6.1728e+06,1.1808e+06,-1.3078e-09,-1.1824e-08,0.0405,0,0.5405,0
-1.7134e+08,-1.1262e+07,6.6369e+06,1.1619e+06,-1.2718e-09,-1.1747e-08,0.041,0,0.541,0
-1.7005e+08,-1.1287e+07,7.1008e+06,1.143e+06,-1.2358e-09,-1.167e-08,0.0415,0,0.5415,0
-1.6876e+08,-1.1311e+07,7.5649e+06,1.1242e+06,-1.1998e-09,-1.1593e-08,0.042,0,0.542,0
-1.6748e+08,-1.1335e+07,8.0289e+06,1.1053e+06,-1.1639e-09,-1.1516e-08,0.0425,0,0.5425,0
-1.6619e+08,-1.1359e+07,8.4929e+06,1.0864e+06,-1.1279e-09,-1.1438e-08,0.043,0,0.543,0
-1.649e+08,-1.1383e+07,8.9569e+06,1.0675e+06,-1.0919e-09,-1.1361e-08,0.0435,0,0.5435,0
-1.6362e+08,-1.1407e+07,9.421e+06,1.0486e+06,-1.0559e-09,-1.1284e-08,0.044,0,0.544,0
-1.6233e+08,-1.1431e+07,9.885e+06,1.0298e+06,-1.0199e-09,-1.1207e-08,0.0445,0,0.5445,0
-1.6104e+08,-1.1456e+07,1.0349e+07,1.0109e+06,-9.8394e-10,-1.113e-08,0.045,0,0.545,0
-1.5975e+08,-1.148e+07,1.0813e+07,9.92e+05,-9.4796e-10,-1.1053e-08,0.0455,0,0.5455,0
-1.5847e+08,-1.1504e+07,1.1277e+07,9.7312e+05,-9.1198e-10,-1.0976e-08,0.046,0,0.546,0
-1.5718e+08,-1.1528e+07,1.1741e+07,9.5424e+05,-8.7599e-10,-1.0898e-08,0.0465,0,0.5465,0
-1.5589e+08,-1.1552e+07,1.2205e+07,9.3536e+05,-8.4001e-10,-1.0821e-08,0.047,0,0.547,0
-1.546e+08,-1.1576e+07,1.2669e+07,9.1648e+05,-8.0403e-10,-1.0744e-08,0.0475,0,0.5475,0
-1.5332e+08,-1.16e+07,1.3133e+07,8.976e+05,-7.6805e-10,-1.0667e-08,0.048,0,0.548,0
-1.5203e+08,-1.1625e+07,1.3597e+07,8.7872e+05,-7.3206e-10,-1.059e-08,0.0485,0,0.5485,0
-1.5074e+08,-1.1649e+07,1.4061e+07,8.5983e+05,-6.9608e-10,-1.0513e-08,0.049,0,0.549,0
-1.4946e+08,-1.1673e+07,1.4525e+07,8.4095e+05,-6.601e-10,-1.0436e-08,0.0495,0,0.5495,0
-1.4817e+08,-1.1697e+07,1.4989e+07,8.2207e+05,-6.2412e-10,-1.0359e-08,0.05,0,0.55,0
-1.4697e+08,-1.1603e+07,1.5339e+07,7.8931e+05,-7.6765e-10,-1.0553e-08,0.0505,0,0.5505,0
-1.4578e+08,-1.151e+07,1.5689e+07,7.5654e+05,-9.112e-10,-1.0747e-08,0.051,0,0.551,0
-1.4459e+08,-1.1416e+07,1.6039e+07,7.2377e+05,-1.0548e-09,-1.0941e-08,0.0515,0,0.5515,0
-1.4339e+08,-1.1323e+07,1.6389e+07,6.9101e+05,-1.1983e-09,-1.1135e-08,0.052,0,0.552,0
-1.422e+08,-1.1229e+07,1.6739e+07,6.5824e+05,-1.3418e-09,-1.1329e-08,0.0525,0,0.5525,0
-1.4101e+08,-1.1135e+07,1.7089e+07,6.2548e+05,-1.4854e-09,-1.1523e-08,0.053,0,0.553,0
-1.3981e+08,-1.1042e+07,1.7439e+07,5.9271e+05,-1.6289e-09,-1.1717e-08,0.0535,0,0.5535,0
-1.3862e+08,-1.0948e+07,1.7789e+07,5.5994e+05,-1.7725e-09,-1.1911e-08,0.054,0,0.554,0
-1.3743e+08,-1.0854e+07,1.8139e+07,5.2718e+05,-1.916e-09,-1.2105e-08,0.0545,0,0.5545,0
-1.3623e+08,-1.0761e+07,1.8489e+07,4.9441e+05,-2.0596e-09,-1.2299e-08,0.055,0,0.555,0
-1.3504e+08,-1.0667e+07,1.8838e+07,4.6165e+05,-2.2031e-09,-1.2493e-08,0.0555,0,0.5555,0
-1.3385e+08,-1.0573e+07,1.9188e+07,4.2888e+05,-2.3467e-09,-1.2687e-08,0.056,0,0.556,0
-1.3265e+08,-1.048e+07,1.9538e+07,3.9611e+05,-2.4902e-09,-1.2881e-08,0.0565,0,0.5565,0
-1.3146e+08,-1.0386e+07,1.9888e+07,3.6335e+05,-2.6337e-09,-1.3075e-08,0.057,0,0.557,0
-1.3027e+08,-1.0293e+07,2.0238e+07,3.3058e+05,-2.7773e-09,-1.3269e-08,0.0575,0,0.5575,0
-1.2907e+08,-1.0199e+07,2.0588e+07,2.9781e+05,-2.9209e-09,-1.3463e-08,0.058,0,0.558,0
